taBTS1,taBTS2,taBTS3,taBTS4,taBTS5,taBTS6,pathBTS6,pathBTS2,pathBTS4,pathBTS5,lon,pathBTS3,pathBTS1,pontoId,lat
1,1,2,1,2,1,102.29,111.59,116.69,114.29,-34.8992,119.356666666667,105.19,1717,-8.069265
1,1,1,1,2,2,140.156666666667,107.79,109.123333333333,137.49,-34.899765,102.056666666667,116.823333333333,617,-8.07412
0,2,3,2,0,0,117.923333333333,128.356666666667,133.956666666667,102.49,-34.892277,126.156666666667,140.156666666667,2398,-8.06582
1,1,1,1,2,2,140.19,122.19,131.79,145.09,-34.900448,121.79,118.49,638,-8.073975
1,1,1,1,2,2,140.54,115.69,113.99,135.24,-34.900341,91.19,114.64,582,-8.07427
1,1,1,1,2,1,124.29,112.223333333333,104.923333333333,136.723333333333,-34.900707,119.856666666667,116.99,1037,-8.072092
2,1,1,1,2,2,139.79,109.723333333333,131.99,139.856666666667,-34.900043,119.79,128.156666666667,425,-8.075415
0,1,4,1,0,1,132.29,128.256666666667,127.523333333333,112.256666666667,-34.888081,131.556666666667,127.19,1716,-8.069266
2,3,3,3,3,2,130.49,134.34,132.79,132.89,-34.905224,128.29,136.34,2921,-8.060705
0,1,2,1,1,1,119.09,106.24,97.09,122.69,-34.896286,110.29,103.24,1480,-8.069894
1,2,3,2,1,0,97.39,93.6233333333333,102.556666666667,124.09,-34.897007,119.223333333333,119.19,2510,-8.065392
0,1,3,1,1,1,129.056666666667,134.523333333333,113.656666666667,108.556666666667,-34.892117,123.756666666667,108.723333333333,1261,-8.070683
0,1,4,1,0,1,131.323333333333,128.19,127.856666666667,110.09,-34.88829,135.056666666667,121.99,1778,-8.069116
0,1,3,1,0,0,111.623333333333,121.956666666667,107.923333333333,119.856666666667,-34.893311,122.223333333333,119.456666666667,2144,-8.067559
1,0,2,0,1,1,129.69,112.256666666667,105.99,117.223333333333,-34.896111,123.123333333333,105.423333333333,874,-8.072648
1,0,2,0,2,2,130.59,100.123333333333,102.423333333333,129.656666666667,-34.898346,95.5566666666667,115.123333333333,668,-8.073767
0,1,3,1,0,1,134.04,140.24,116.34,110.34,-34.889725,129.79,114.34,1396,-8.070126
1,1,2,1,2,1,118.64,125.19,125.39,136.99,-34.900616,122.19,120.44,1668,-8.069386
0,1,2,1,1,0,112.523333333333,118.89,103.023333333333,112.89,-34.895725,120.59,107.29,1764,-8.069143
