pontoId,lat,lon,lat_pred,lon_pred,erro_loc
2540,-8.065119,-34.901386,-8.07582234328,-34.8946438261,1397.68905996
302,-8.075984,-34.896126,-8.07591274627,-34.8945533696,173.51874456
837,-8.072806,-34.890656,-8.06831889552,-34.8927442391,547.038294934
2298,-8.066499,-34.896774,-8.07591274627,-34.8946438261,1067.27180087
1481,-8.069892,-34.895988,-8.06831889552,-34.8927442391,397.624635038
1263,-8.070678,-34.892811,-8.07591274627,-34.8945533696,609.96570062
707,-8.07344,-34.900566,-8.07582234328,-34.8946438261,703.929774736
1342,-8.070411,-34.900913,-8.07582234328,-34.8946438261,914.148060163
516,-8.074647,-34.890316,-8.07591274627,-34.8946438261,497.141754746
2412,-8.065809,-34.890656,-8.06813808955,-34.8927442391,345.446115862
848,-8.072757,-34.895153,-8.07591274627,-34.8946438261,353.497084311
1321,-8.070479,-34.897041,-8.06831889552,-34.8927442391,530.450697159
850,-8.072744,-34.900646,-8.07582234328,-34.8946438261,744.039706057
1928,-8.068686,-34.897308,-8.07591274627,-34.8946438261,851.489739712
78,-8.077242,-34.898445,-8.07591274627,-34.8946438261,444.018452556
1704,-8.069288,-34.888081,-8.07582234328,-34.8945533696,1015.4844038
1566,-8.069649,-34.889477,-8.07582234328,-34.8946438261,889.090919771
2273,-8.066679,-34.896652,-8.07591274627,-34.8945533696,1047.08777108
2300,-8.066477,-34.895439,-8.07591274627,-34.8945533696,1048.11317733
1049,-8.072007,-34.89716,-8.07591274627,-34.8946438261,513.330346144
1517,-8.069779,-34.890491,-8.06831889552,-34.8927442391,296.243739238
2105,-8.067984,-34.892406,-8.07591274627,-34.8945533696,908.271491268
440,-8.075313,-34.89246,-8.07591274627,-34.8945533696,240.081830711
2731,-8.063602,-34.894817,-8.07582234328,-34.8946438261,1351.65782397
1718,-8.069265,-34.895496,-8.07591274627,-34.8945533696,742.520577208
1878,-8.068831,-34.891151,-8.06596841791,-34.8894878043,365.838716312
2230,-8.066914,-34.893795,-8.06831889552,-34.8926537826,199.912534341
975,-8.072412,-34.892193,-8.07591274627,-34.8946438261,472.095907907
2791,-8.063063,-34.897285,-8.07591274627,-34.8946438261,1450.6446548
2347,-8.066082,-34.888832,-8.06596841791,-34.8894878043,73.3697015249
2219,-8.066977,-34.88995,-8.07591274627,-34.8945533696,1110.90642164
2184,-8.06714,-34.894188,-8.06461237313,-34.8945533696,282.431863031
2866,-8.062255,-34.88792,-8.0757319403,-34.8946438261,1664.58991468
2437,-8.065793,-34.890602,-8.0757319403,-34.8946438261,1186.05911775
159,-8.07665,-34.899654,-8.07591274627,-34.8945533696,568.087214035
1503,-8.069826,-34.890423,-8.06831889552,-34.8926537826,297.056796294
868,-8.072676,-34.890652,-8.06831889552,-34.8927442391,534.219923697
2192,-8.067104,-34.892494,-8.07582234328,-34.8946438261,992.906074084
854,-8.072737,-34.896683,-8.07591274627,-34.8946438261,416.987168394
2354,-8.066019,-34.896519,-8.07591274627,-34.8945533696,1115.45414051
1534,-8.069736,-34.897972,-8.07591274627,-34.8945533696,780.15882956
2520,-8.065314,-34.901356,-8.07582234328,-34.8946438261,1377.69287319
2846,-8.062387,-34.901558,-8.07582234328,-34.8945533696,1674.51569969
2688,-8.063877,-34.885971,-8.06840929851,-34.8926537826,890.985144186
1470,-8.069917,-34.900837,-8.07582234328,-34.8946438261,944.74325326
1019,-8.072206,-34.892281,-8.07591274627,-34.8945533696,480.411163722
2137,-8.067663,-34.890396,-8.07591274627,-34.8945533696,1021.00022507
1174,-8.071078,-34.891815,-8.07591274627,-34.8946438261,618.974929311
2631,-8.064244,-34.90147,-8.07591274627,-34.8945533696,1498.88736709
2310,-8.06638,-34.89687,-8.07591274627,-34.8946438261,1082.46369234
222,-8.076383,-34.899742,-8.07582234328,-34.8946438261,565.345409726
487,-8.074892,-34.9002,-8.07582234328,-34.8946438261,621.001193465
743,-8.07321,-34.896385,-8.07591274627,-34.8946438261,355.220549849
2733,-8.0636,-34.895966,-8.07582234328,-34.8946438261,1359.57766362
2838,-8.062428,-34.901497,-8.07582234328,-34.8946438261,1662.84332635
1972,-8.068586,-34.889378,-8.06831889552,-34.8926537826,362.27894463
1828,-8.068959,-34.889622,-8.07591274627,-34.8945533696,941.754074017
2889,-8.061551,-34.902473,-8.07582234328,-34.8946438261,1798.86679641
2596,-8.06464,-34.897049,-8.07591274627,-34.8946438261,1274.59779923
2683,-8.063899,-34.88596,-8.0757319403,-34.8946438261,1621.36108595
70,-8.077295,-34.898602,-8.07591274627,-34.8946438261,462.288122019
2614,-8.064413,-34.897125,-8.07591274627,-34.8946438261,1300.8998572
637,-8.073983,-34.900448,-8.07591274627,-34.8945533696,683.879167779
2092,-8.068036,-34.900261,-8.07591274627,-34.8946438261,1068.74875888
128,-8.076888,-34.897411,-8.07591274627,-34.8946438261,323.514852069
127,-8.076911,-34.899551,-8.07582234328,-34.8946438261,554.120578977
1964,-8.068602,-34.89711,-8.07591274627,-34.8946438261,853.012278739
2187,-8.067128,-34.900955,-8.07591274627,-34.8945533696,1200.75704
927,-8.07253,-34.896248,-8.07591274627,-34.8946438261,413.798555507
1178,-8.071036,-34.895786,-8.07591274627,-34.8946438261,553.847705519
1763,-8.069149,-34.900532,-8.07582234328,-34.8946438261,982.819726601
1931,-8.068669,-34.891048,-8.06596841791,-34.8894878043,344.645865393
