pontoId,lat,lon,lat_pred,lon_pred,erro_loc
853,-8.072738,-34.896675,-8.073126606879748,-34.89562713473461,123.236670811
495,-8.07481,-34.890869,-8.069092045413678,-34.89411644051937,726.659709451
2765,-8.063375,-34.888794,-8.069237779596644,-34.89280559049938,784.822279516
913,-8.072556,-34.891972,-8.071308202257374,-34.893003948837645,178.836439702
321,-8.075891,-34.89616,-8.070359367270465,-34.89522347694248,620.42519828
1078,-8.071801,-34.892166,-8.069372802207356,-34.88911993207898,429.93856638
2308,-8.066401,-34.893074,-8.066066397922683,-34.89502422235265,218.126053531
1757,-8.069173,-34.88818,-8.067094096425901,-34.89246346420102,525.150441918
1741,-8.06922,-34.889549,-8.06720770093151,-34.889886412191835,225.63868615
2141,-8.067605,-34.893211,-8.069251770861841,-34.895705828417945,329.834326231
2863,-8.062281,-34.887882,-8.06745869851764,-34.895434262668545,1010.39046201
187,-8.076449,-34.899715,-8.071800384894765,-34.897605169831394,564.268603947
1040,-8.072079,-34.892063,-8.070864276620215,-34.89309448183215,175.995969983
1056,-8.071979,-34.89204,-8.071649048288716,-34.89349960430611,164.969859424
2577,-8.064881,-34.897038,-8.068480250638919,-34.896276908844975,406.807234959
302,-8.075984,-34.896126,-8.071738523442813,-34.89541968750055,475.943967655
1774,-8.069136,-34.888248,-8.066810094352382,-34.8909141971967,390.559562812
647,-8.07391,-34.890396,-8.073134444782033,-34.89150377387586,149.218434652
405,-8.075457,-34.896286,-8.070953288005418,-34.894730053399364,526.792066956
1898,-8.068765,-34.896202,-8.071420732546201,-34.89667929246277,298.3882475
101,-8.077086,-34.899464,-8.071451574603149,-34.897529126043565,658.630509204
141,-8.076802,-34.899574,-8.071822130332976,-34.89710058874004,614.537467361
122,-8.076941,-34.899525,-8.071698297684431,-34.896980950428656,644.070037333
1707,-8.069283,-34.900566,-8.069493200055561,-34.89765878206434,321.288979213
2808,-8.062858,-34.897293,-8.068784238011485,-34.897706315743015,657.000491904
1748,-8.069194,-34.891335,-8.067313234084732,-34.889276250868946,307.833388063
2354,-8.066019,-34.896519,-8.06870302142632,-34.8948221421533,350.853278114
1465,-8.069939,-34.894203,-8.071214002158298,-34.8953235944453,187.457426849
234,-8.07634,-34.895985,-8.069381922895007,-34.89451147385137,786.489783548
901,-8.07258,-34.896717,-8.07368036391823,-34.89644426294006,125.354113489
541,-8.074502,-34.900291,-8.07161671404825,-34.89891440916163,353.339297048
409,-8.075452,-34.892868,-8.070079216553124,-34.894126744669414,610.192131292
173,-8.076538,-34.899693,-8.071331482017413,-34.89666907353264,665.32966385
494,-8.074819,-34.900215,-8.070766543337536,-34.898891678411644,471.324098749
1226,-8.07079,-34.892605,-8.071422490517659,-34.891778034244275,114.898877826
1975,-8.068583,-34.896469,-8.072019243144227,-34.89704676350923,385.334184262
195,-8.076431,-34.895683,-8.07056473438374,-34.89507317648437,652.25924059
2733,-8.0636,-34.895966,-8.068569125545908,-34.896669273329685,555.006343662
2212,-8.066996,-34.893829,-8.066945155103248,-34.89405529947638,25.5698953382
2144,-8.067559,-34.893311,-8.06871183306928,-34.895060832958364,231.207266983
1930,-8.068676,-34.897205,-8.069718941518362,-34.89683479308928,122.350588003
2155,-8.067385,-34.896763,-8.069677184453656,-34.89947650650183,392.076430709
1362,-8.070318,-34.89727,-8.073126326110803,-34.89576115903246,352.314294628
677,-8.073727,-34.900501,-8.071972288395845,-34.900301693405375,195.303853572
1403,-8.070107,-34.889618,-8.06871868622532,-34.89148413409874,256.681006687
1404,-8.070104,-34.889866,-8.071224539815281,-34.89198106893924,264.023573803
1444,-8.069985,-34.890697,-8.070149182846013,-34.89234997968357,183.101241524
2888,-8.061568,-34.902393,-8.069252820227575,-34.89473270742137,1198.03771324
3,-8.077567,-34.899223,-8.072353732923327,-34.8996202928597,578.228051487
1207,-8.070848,-34.900864,-8.069777979824861,-34.89694981757058,447.373662572
2725,-8.063645,-34.886196,-8.069030401168385,-34.89349864326082,1001.33307334
301,-8.075993,-34.894455,-8.071640460353905,-34.895615244755895,498.072317522
2673,-8.063934,-34.885902,-8.069724337353081,-34.89386888405964,1086.85266382
891,-8.072604,-34.894436,-8.074453439458184,-34.89507018699056,216.155785888
2665,-8.063993,-34.89447,-8.06721865996654,-34.89468502826517,357.532015792
1113,-8.071494,-34.895386,-8.07123110606833,-34.89687812678917,167.018432112
2827,-8.062628,-34.901375,-8.067884230246825,-34.89507154370446,905.915223294
1356,-8.070341,-34.893436,-8.070743210318936,-34.89452794360225,128.315776508
1628,-8.069507,-34.89502,-8.070557196633722,-34.89488795470464,117.0560924
1328,-8.070457,-34.89706,-8.073898761502468,-34.89518899230377,432.922344374
2855,-8.062371,-34.887772,-8.067278474488964,-34.89370950736061,850.236124555
65,-8.077327,-34.898586,-8.072511481991056,-34.89896268635012,534.193903603
1283,-8.070611,-34.896862,-8.073173112018253,-34.89630100968495,290.028057843
1104,-8.071577,-34.892117,-8.07075077492593,-34.88917925447582,336.456430881
178,-8.076507,-34.899704,-8.071522160679855,-34.897533686830165,600.967636954
2544,-8.065085,-34.885742,-8.068205178589151,-34.89210005433786,781.170000547
2137,-8.067663,-34.890396,-8.067782424156478,-34.890700886845906,36.1084637044
1085,-8.071756,-34.89217,-8.06966196983367,-34.88988109107638,342.471256083
1560,-8.06966,-34.890625,-8.068266695741842,-34.89304109785615,307.681538645
1730,-8.069236,-34.89135,-8.068442514736118,-34.89012301381739,161.22091237
371,-8.0756,-34.893547,-8.070790871743936,-34.894296552970474,538.249734652
1966,-8.068594,-34.898624,-8.070973214613016,-34.897737162756876,280.702222185
938,-8.072496,-34.89674,-8.073291726644593,-34.89673410062069,88.0067269923
1600,-8.06957,-34.890755,-8.069883666407822,-34.89314599347196,265.819313697
2941,-8.059775,-34.906284,-8.067515556848926,-34.8955201493665,1463.06076773
975,-8.072412,-34.892193,-8.07073436442978,-34.89336662263658,226.184604685
2879,-8.06187,-34.901951,-8.068167859030183,-34.89410022914977,1110.8471595
2579,-8.06484,-34.893227,-8.06696571588728,-34.89584570562846,372.27392403
2534,-8.065175,-34.893002,-8.066847144171847,-34.894174180653216,225.596583608
2338,-8.066161,-34.893513,-8.06737232959137,-34.893047212740385,143.469438692
2372,-8.065868,-34.893612,-8.067418700492631,-34.89482477180316,217.445645576
686,-8.073659,-34.893925,-8.073522443654383,-34.895713003241205,197.657665071
2259,-8.066758,-34.89563,-8.067864664870953,-34.897131257479174,205.821328274
1420,-8.070049,-34.893997,-8.070546347733034,-34.89364214899014,67.4934503848
2660,-8.064007,-34.894501,-8.067646904738679,-34.89510753897708,408.073294445
590,-8.074231,-34.900223,-8.072585380743014,-34.902689310209645,327.144564767
2051,-8.06833,-34.889885,-8.066561289172908,-34.88984763718838,195.655951127
1981,-8.068574,-34.891171,-8.068587770023885,-34.89280870416026,180.522008961
125,-8.076917,-34.899548,-8.071324951578582,-34.89781446402076,647.303518625
283,-8.0761,-34.899815,-8.072427185747427,-34.89883191075594,420.404041945
2591,-8.064696,-34.885094,-8.071276363954839,-34.89354749308341,1182.31283746
1428,-8.070016,-34.896091,-8.07095805777266,-34.89660357167274,118.520630406
2328,-8.066243,-34.896896,-8.069166120261121,-34.897144670895244,324.445729421
1631,-8.069493,-34.890995,-8.069817464947922,-34.890521277663346,63.3576595917
