pontoId,lat,lon,lat_pred,lon_pred,erro_loc
853,-8.072738,-34.896675,-8.072798,-34.89666,6.83864262138
495,-8.07481,-34.890869,-8.074916,-34.891209,39.2666836398
2765,-8.063375,-34.888794,-8.062721,-34.888439,82.2361968866
913,-8.072556,-34.891972,-8.071783,-34.891991,85.5164890958
321,-8.075891,-34.89616,-8.076376,-34.895996,56.6031779632
1078,-8.071801,-34.892166,-8.071573,-34.892105,26.0969457145
2308,-8.066401,-34.893074,-8.064991,-34.894054,189.699774507
1757,-8.069173,-34.88818,-8.069266,-34.888081,14.9955737406
1741,-8.06922,-34.889549,-8.068935,-34.88961,32.2290640826
2141,-8.067605,-34.893211,-8.075491,-34.892986,872.513928831
2863,-8.062281,-34.887882,-8.062304,-34.887848,4.52942861083
187,-8.076449,-34.899715,-8.075055,-34.900166,161.98722006
1040,-8.072079,-34.892063,-8.072277,-34.892097,22.2164090551
1056,-8.071979,-34.89204,-8.07188,-34.892014,11.3178615187
2577,-8.064881,-34.897038,-8.063986,-34.897175,100.128813832
302,-8.075984,-34.896126,-8.075582,-34.896252,46.5783305044
1774,-8.069136,-34.888248,-8.069237,-34.888077,21.9097280581
647,-8.07391,-34.890396,-8.073793,-34.89043,13.4715135193
405,-8.075457,-34.896286,-8.076409,-34.895576,131.186190255
1898,-8.068765,-34.896202,-8.067963,-34.900387,469.741105708
101,-8.077086,-34.899464,-8.076993,-34.899521,12.0524894654
141,-8.076802,-34.899574,-8.077034,-34.899506,26.7306244381
122,-8.076941,-34.899525,-8.076987,-34.899506,5.50160742356
1707,-8.069283,-34.900566,-8.069767,-34.900772,58.1453229892
2808,-8.062858,-34.897293,-8.062815,-34.897289,4.77602820153
1748,-8.069194,-34.891335,-8.068669,-34.891048,66.1214828988
2354,-8.066019,-34.896519,-8.066086,-34.896355,19.5367427432
1465,-8.069939,-34.894203,-8.069879,-34.897629,377.687170482
234,-8.07634,-34.895985,-8.062199,-34.901802,1690.27110544
901,-8.07258,-34.896717,-8.072623,-34.896706,4.90776223208
541,-8.074502,-34.900291,-8.074734,-34.900234,26.4163150476
409,-8.075452,-34.892868,-8.07545,-34.892941,8.04931291776
173,-8.076538,-34.899693,-8.076408,-34.899723,14.7528570939
494,-8.074819,-34.900215,-8.074041,-34.900433,89.3359803839
1226,-8.07079,-34.892605,-8.071883,-34.89201,137.526483168
1975,-8.068583,-34.896469,-8.073125,-34.89629,502.715110007
195,-8.076431,-34.895683,-8.076433,-34.895676,0.802638597789
2733,-8.0636,-34.895966,-8.061462,-34.902924,802.577957426
2212,-8.066996,-34.893829,-8.065581,-34.887222,744.883716534
2144,-8.067559,-34.893311,-8.067984,-34.892406,110.272853504
1930,-8.068676,-34.897205,-8.075804,-34.893963,865.539869558
2155,-8.067385,-34.896763,-8.067906,-34.896679,58.3597470031
1362,-8.070318,-34.89727,-8.069834,-34.897789,78.3446423108
677,-8.073727,-34.900501,-8.074533,-34.900276,92.5261303406
1403,-8.070107,-34.889618,-8.068528,-34.889545,174.816609258
1404,-8.070104,-34.889866,-8.069979,-34.890102,29.4582959787
1444,-8.069985,-34.890697,-8.069847,-34.890697,15.2622701925
2888,-8.061568,-34.902393,-8.064518,-34.889442,1464.34858264
3,-8.077567,-34.899223,-8.077357,-34.898571,75.5247417106
1207,-8.070848,-34.900864,-8.07269,-34.900665,204.895603112
2725,-8.063645,-34.886196,-8.063383,-34.886536,47.3723209124
301,-8.075993,-34.894455,-8.075804,-34.893963,58.1186152049
2673,-8.063934,-34.885902,-8.063864,-34.885983,11.8173215716
891,-8.072604,-34.894436,-8.072412,-34.8946,27.886721614
2665,-8.063993,-34.89447,-8.063526,-34.894943,73.3881247496
1113,-8.071494,-34.895386,-8.070623,-34.896149,127.876128687
2827,-8.062628,-34.901375,-8.064479,-34.893478,894.204112616
1356,-8.070341,-34.893436,-8.069857,-34.894382,117.209249021
1628,-8.069507,-34.89502,-8.069756,-34.894653,48.9363034696
1328,-8.070457,-34.89706,-8.070422,-34.897129,8.53386520175
2855,-8.062371,-34.887772,-8.062373,-34.887775,0.39783774103
65,-8.077327,-34.898586,-8.077494,-34.899231,73.4534015939
